age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
29,3993,,0,0,0,29,,无,,无,2017/7/16,,59094509,,无,女,,,,,,,100%,2017/1/6,1,,,,6 ,,,2017-07-21,,pdu2767333400,C,20
26,3470,,0,0,0,40,,无,,无,2017/7/16,,59124844,,无,女,,,,,,,100%,2015/11/2,1,,,,12 ,,,2017-07-21,,pdu28626328,C,20
28,1100,,0,0,0,3,,无,,无,2017/7/14,,58675533,,无,女,,,,,,,100%,2016/10/2,1,,,,6 ,,,2017-07-21,,pdu3288278164,C,20
29,816,,0,0,0,5,,无,,无,2017/7/15,,59001529,,无,女,,,,,,,100%,2016/6/27,1,,,,6 ,,,2017-07-21,,pdu0385345144,C,20
33,2000,,0,0,0,10,,无,,无,2017/7/14,,58720383,,无,女,,,,,,,100%,2017/1/24,1,,,,12 ,,,2017-07-21,,pdu3526011544,C,20
35,1485,,0,0,0,18,,无,,无,2017/7/18,,59450089,,无,男,,,,,,,100%,2015/9/7,1,,,,6 ,,,2017-07-21,,pdu87478540,C,20
35,4089,,0,0,0,18,,无,,无,2017/7/14,,58776294,,无,女,,,,,,,100%,2016/9/6,1,,,,12 ,,,2017-07-21,,pdu8601418042,C,20
27,1607,,0,0,0,13,,无,,无,2017/7/14,,58802182,,无,男,,,,,,,100%,2017/2/17,1,,,,6 ,,,2017-07-21,,pdu5766166854,D,22
39,5100,,0,0,0,29,,无,,无,2017/7/14,,58755332,,无,男,,,,,,,100%,2015/5/11,1,,,,12 ,,,2017-07-21,,pdu13302637,C,20
27,3699,身份证认证|手机认证,2137.6666666666665,260.0,0.22666666666666668,10,3次流标，0次撤标，0次失败,无,6413.00,无,0天07时23分,2016/1/9,57227329,0,无,男,2993.00,5006.64,4.0,9,17,0,12%,2016/1/9,0.5,3,27,,12 ,0.00,10.19,2017-07-21,,pdu4307328642,F,22
33,21625,身份证认证|手机认证,6396.857142857143,231.42857142857142,0.24571428571428575,0,1次流标，1次撤标，0次失败,无,44778.00,无,2017/7/18,2015/11/9,56571343,27477.83,无,男,17809.00,27477.83,0.0,27,0,0,22%,2015/10/14,0,7,27,15158.779999999999,24 ,0.00,27477.83,2017-07-21,,pdu14088055,C,20
23,4000,,0,0,0,20,,无,,无,2017/7/15,,58904195,,无,男,,,,,,,100%,2016/12/15,1,,,,12 ,,,2017-07-21,,pdu0817740444,C,20
28,1281,,0,0,0,7,,无,,无,2017/7/16,,59142561,,无,女,,,,,,,100%,2016/9/30,1,,,,6 ,,,2017-07-21,,pdu1184716514,C,20
28,12682,,0,0,0,108,,无,,无,2017/7/20,,59680069,,无,女,,,,,,,100%,2016/6/18,1,,,,12 ,,,2017-07-21,,pdu1818218351,C,20
31,1922,,0,0,0,17,,无,,无,2017/7/16,,59146271,,无,男,,,,,,,100%,2016/4/12,1,,,,12 ,,,2017-07-21,,pdu0511845003,C,20
43,5000,,0,0,0,45,,无,,无,2017/7/15,,58891289,,无,男,,,,,,,100%,2016/10/14,1,,,,12 ,,,2017-07-21,,pdu1826447308,B,18
24,2000,,0,0,0,22,,无,,无,2017/7/16,,59040571,,无,女,,,,,,,100%,2015/12/24,1,,,,12 ,,,2017-07-21,,pdu5275167811,C,20
27,8000,,0,0,0,51,,无,,无,2017/7/14,,58779631,,无,女,,,,,,,100%,2017/7/11,1,,,,12 ,,,2017-07-21,,pdu0336531021,D,22
23,1477,,0,0,0,19,,无,,无,2017/7/19,,59705041,,无,男,,,,,,,100%,2015/7/25,1,,,,6 ,,,2017-07-21,,pdu81211680,C,20
23,11500,,0,0,0,81,,无,,无,2017/7/16,,58821929,,无,女,,,,,,,100%,2016/12/18,1,,,,6 ,,,2017-07-21,,pdu1302552038,B,18
50,11400,身份证认证|手机认证,4000.0,180.0,0.2,62,0次流标，1次撤标，0次失败,无,4000.00,无,18天17时30分,2016/11/28,59900328,0,无,女,4000.00,4236.54,0.0,6,0,0,66%,2016/10/29,0.5,1,6,,6 ,0.00,0.00,2017-07-21,,pdu7202111035,C,20
23,6590,,0,0,0,43,,无,,无,2017/7/15,,58709191,,无,男,,,,,,,100%,2016/4/9,1,,,,12 ,,,2017-07-21,,pdu8855818385,C,20
31,2226,,0,0,0,7,,无,,无,2017/7/15,,58896460,,无,男,,,,,,,100%,2016/9/10,1,,,,12 ,,,2017-07-21,,pdu4280400772,C,20
25,1093,,0,0,0,2,,无,,无,2017/7/15,,59012890,,无,男,,,,,,,100%,2016/10/8,1,,,,6 ,,,2017-07-21,,pdu8085275570,C,20
23,3357,,0,0,0,29,,无,,无,2017/7/17,,59303081,,无,男,,,,,,,100%,2016/5/12,1,,,,6 ,,,2017-07-21,,pdu8238405807,C,20
31,1448,,0,0,0,3,,无,,无,2017/7/16,,59106294,,无,男,,,,,,,100%,2016/8/26,1,,,,12 ,,,2017-07-21,,pdu2200221548,C,20
43,7150,,0,0,0,45,,无,,无,2017/7/14,,58721153,,无,女,,,,,,,100%,2016/8/3,1,,,,12 ,,,2017-07-21,,pdu6240634811,B,18
29,5000,,0,0,0,25,,无,,无,2017/7/17,,59309141,,无,男,,,,,,,100%,2016/6/3,1,,,,12 ,,,2017-07-21,,pdu2406183302,C,20
32,4000,,0,0,0,16,,无,,无,2017/7/20,,59835809,,无,女,,,,,,,100%,2016/12/9,1,,,,12 ,,,2017-07-21,,pdu5025724537,B,18
23,1900,,0,0,0,10,,无,,无,2017/7/14,,58815844,,无,男,,,,,,,100%,2016/12/10,1,,,,12 ,,,2017-07-21,,pdu4078701060,B,18
23,11200,,0,0,0,110,,无,,无,2017/7/17,,59206416,,无,男,,,,,,,100%,2016/9/16,1,,,,12 ,,,2017-07-21,,pdu8851648667,C,20
29,3821,,0,0,0,13,,无,,无,2017/7/14,,58753747,,无,男,,,,,,,100%,2017/1/8,1,,,,6 ,,,2017-07-21,,pdu4114070523,D,22
36,6097,,0,0,0,12,,无,,无,2017/7/14,,58818333,,无,女,,,,,,,100%,2016/5/1,1,,,,6 ,,,2017-07-21,,pdu7605462768,C,20
26,4400,,0,0,0,10,,无,,无,2017/7/14,,58779216,,无,女,,,,,,,100%,2016/4/23,1,,,,6 ,,,2017-07-21,,pdu0446065868,C,20
33,6300,,0,0,0,41,,无,,无,2017/7/15,,58848340,,无,男,,,,,,,100%,2015/10/5,1,,,,6 ,,,2017-07-21,,pdu38687435,D,22
37,1902,,0,0,0,9,,无,,无,2017/7/18,,59477940,,无,女,,,,,,,100%,2015/11/28,1,,,,6 ,,,2017-07-21,,pdu8326073638,C,20
25,3804,,0,0,0,32,,无,,无,2017/7/16,,59101985,,无,男,,,,,,,100%,2016/7/30,1,,,,6 ,,,2017-07-21,,pdu0074344140,C,20
24,4188,,0,0,0,16,,无,,无,2017/7/15,,58979195,,无,女,,,,,,,100%,2016/3/15,1,,,,12 ,,,2017-07-21,,pdu8376177116,C,20
22,6583,,0,0,0,41,,无,,无,2017/7/14,,58556474,,无,男,,,,,,,100%,2016/8/28,1,,,,6 ,,,2017-07-21,,pdu3077120088,C,20
33,1178,,0,0,0,9,,无,,无,2017/7/20,,59913069,,无,女,,,,,,,100%,2017/6/14,1,,,,6 ,,,2017-07-21,,pdu5215477303,C,20
29,3521,,0,0,0,12,,无,,无,2017/7/19,,59668728,,无,女,,,,,,,100%,2017/3/15,1,,,,6 ,,,2017-07-21,,pdu0660031220,B,18
30,958,,0,0,0,10,,无,,无,2017/7/14,,58825000,,无,女,,,,,,,100%,2017/3/8,1,,,,6 ,,,2017-07-21,,pdu0723678173,C,20
33,4051,,0,0,0,16,,无,,无,2017/7/14,,58681085,,无,女,,,,,,,100%,2016/10/24,1,,,,6 ,,,2017-07-21,,pdu4531704286,C,20
30,4286,,0,0,0,31,,无,,无,2017/7/15,,58982749,,无,男,,,,,,,100%,2016/9/12,1,,,,12 ,,,2017-07-21,,pdu1768322010,C,20
40,2000,,0,0,0,3,,无,,无,2017/7/16,,59079731,,无,男,,,,,,,100%,2015/6/16,1,,,,6 ,,,2017-07-21,,pdu53572133,C,20
28,2163,,0,0,0,14,,无,,无,2017/7/14,,58635758,,无,男,,,,,,,100%,2017/4/10,1,,,,6 ,,,2017-07-21,,pdu3370667358,C,20
22,1212,,0,0,0,6,,无,,无,2017/7/14,,58823619,,无,女,,,,,,,100%,2016/11/26,1,,,,12 ,,,2017-07-21,,pdu8757514268,C,20
