age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
28,4623,身份证认证|手机认证,0,0,0,5,1次流标，0次撤标，0次失败,无,0.00,无,14天12时11分,,1000186567,,无,男,0.00,0.00,,0,0,0,4%,2016/7/12,0.5,0,0,,15 ,0.00,0.00,2017-07-28,,pdu1544746641,AA,12
22,700,身份证认证|手机认证,950.0,270.0,0.21333333333333335,0,0次流标，0次撤标，0次失败,无,5700.00,无,19天16时04分,2017/1/23,61535261,3412.7,无,男,1500.00,4011.64,0.0,23,1,0,0%,2016/12/18,0.5,6,24,3131.9300000000007,12 ,0.00,3412.70,2017-07-28,,pdu8405633234,C,20
23,2000,身份证认证|手机认证,1469.1666666666667,150.0,0.22166666666666668,6,0次流标，0次撤标，0次失败,无,8815.00,无,19天09时49分,2017/2/21,61469898,4492.15,无,女,2000.00,4557.17,5.0,15,1,0,62%,2017/2/21,0.5,6,16,4492.150000000001,6 ,0.00,4492.15,2017-07-28,,pdu1324662383,C,20
25,8500,,0,0,0,66,,无,,无,2017/7/27,,61060602,,无,女,,,,,,,100%,2017/7/25,1,,,,3 ,,,2017-07-28,,pdu8221674126,AA,10
35,11000,身份证认证|手机认证,0,0,0,7,1次流标，0次撤标，0次失败,无,0.00,无,14天15时04分,,61527644,,无,男,0.00,0.00,,0,0,0,8%,2017/6/19,0.5,0,0,,12 ,0.00,0.00,2017-07-28,,pdu1644683520,AA,12
24,2000,,0,0,0,20,,无,,无,2017/7/27,,1000182411,,无,男,,,,,,,100%,2017/7/27,1,,,,3 ,,,2017-07-28,,pdu0322376173,AA,10
26,1016,,0,0,0,23,,无,,无,2017/7/25,,60903653,,无,男,,,,,,,100%,2016/12/29,1,,,,12 ,,,2017-07-28,,pdu2686878726,D,22
46,3000,,0,0,0,6,,无,,无,2017/7/27,,61352789,,无,男,,,,,,,100%,2016/1/27,1,,,,12 ,,,2017-07-28,,pdu6101787816,C,20
29,1125,身份证认证|手机认证,1684.5,90.0,0.1,10,4次流标，0次撤标，0次失败,无,3369.00,无,19天09时31分,2017/4/24,61465953,1027.48,无,男,2025.00,2288.25,,4,0,0,55%,2015/5/14,0.5,2,4,1027.48,6 ,0.00,1027.48,2017-07-28,,rong3882452,D,22
32,9221,,0,0,0,100,,无,,无,2017/7/27,,61304792,,无,男,,,,,,,100%,2016/8/23,1,,,,12 ,,,2017-07-28,,pdu7621527881,D,22
27,4110,学历认证|身份证认证|手机认证,4696.75,360.0,0.205,27,0次流标，0次撤标，0次失败,上海第二工业大学,37574.00,专科,14天13时58分,2016/3/22,61518421,18231.53,普通,男,7153.00,19653.50,0.0,54,0,0,46%,2016/3/22,0.5,8,54,13097.07,12 ,0.00,18231.53,2017-07-28,,pdu8761022270,C,20
22,2890,身份证认证|手机认证|人行征信认证,2551.0,300.0,0.14333333333333334,7,1次流标，0次撤标，0次失败,无,7653.00,无,19天12时36分,2017/1/9,61504465,4659.14,无,男,3643.00,5762.24,0.0,9,0,0,26%,2016/11/20,0.5,3,9,3309.3,12 ,0.00,4659.14,2017-07-28,,pdu2162040681,C,20
31,2571,,0,0,0,15,,无,,无,2017/7/27,,61341144,,无,女,,,,,,,100%,2015/3/20,1,,,,12 ,,,2017-07-28,,rong0083823,C,20
30,5010,身份证认证|手机认证,1722.6666666666667,360.0,0.17333333333333334,2,1次流标，0次撤标，0次失败,无,5168.00,无,19天09时52分,2017/3/17,61471181,1111.56,无,男,3168.00,4503.22,0.0,6,0,0,20%,2015/12/6,0.5,3,6,555.78,12 ,0.00,1111.56,2017-07-28,,pdu2335326163,C,20
22,700,身份证认证|手机认证,1000.0,180.0,0.11,0,0次流标，0次撤标，0次失败,无,1000.00,无,19天13时08分,2017/5/28,61510104,774.84,无,男,1000.00,1162.26,,2,0,0,0%,2017/5/27,0.5,1,2,774.84,6 ,0.00,774.84,2017-07-28,,pdu1127127074,C,20
32,2100,身份证认证|手机认证,6616.666666666667,240.0,0.19166666666666668,9,0次流标，2次撤标，0次失败,无,39700.00,无,19天17时27分,2016/9/18,61544252,12046.55,无,男,12500.00,15060.06,0.0,11,0,0,26%,2016/7/18,0.5,6,11,12046.55,6 ,0.00,12046.55,2017-07-28,,pdu7745462735,C,20
