age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
27,13000,身份证认证|手机认证,0,0,0,5,0次流标，0次撤标，0次失败,无,0.00,无,19天23时39分,,58835415,,无,男,0.00,0.00,,0,0,0,4%,2017/5/6,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
28,2500,身份证认证|手机认证,0,0,0,7,2次流标，0次撤标，0次失败,无,0.00,无,19天23时39分,,58835318,,无,男,0.00,0.00,,0,0,0,100%,2017/6/16,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
30,4000,身份证认证|手机认证,0,0,0,5,1次流标，1次撤标，0次失败,无,0.00,无,19天23时39分,,58835405,,无,男,0.00,0.00,,0,0,0,45%,2017/4/19,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
27,8000,身份证认证|手机认证,0,0,0,76,0次流标，0次撤标，0次失败,无,0.00,无,2017/7/14,,58834933,,无,女,0.00,0.00,,0,0,0,100%,2017/7/11,-1,0,0,,3 ,0.00,0.00,2017-07-14,,"/user/,",AA,10
28,5500,身份证认证|手机认证,0,0,0,32,0次流标，0次撤标，0次失败,无,0.00,无,2017/7/14,,58834867,,无,女,0.00,0.00,,0,0,0,100%,2017/7/13,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
29,8000,身份证认证|手机认证,0,0,0,35,1次流标，0次撤标，0次失败,无,0.00,无,2017/7/14,,58834793,,无,女,0.00,0.00,,0,0,0,100%,2016/8/2,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
20,5000,学历认证|身份证认证|手机认证,0,0,0,6,0次流标，0次撤标，0次失败,江苏经贸职业技术学院,0.00,专科,19天23时39分,,58835344,,成人,男,0.00,0.00,,0,0,0,39%,2017/7/14,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
28,11500,身份证认证|手机认证,0,0,0,72,0次流标，0次撤标，0次失败,无,0.00,无,2017/7/14,,58834830,,无,男,0.00,0.00,,0,0,0,100%,2017/7/14,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
51,8600,学历认证|身份证认证|手机认证,0,0,0,4,0次流标，1次撤标，0次失败,广西广播电视大学,0.00,专科,9天22时38分,,58821688,,业余,女,0.00,0.00,,0,0,0,13%,2017/7/12,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",B,18
27,14000,学历认证|身份证认证|手机认证,0,0,0,39,0次流标，1次撤标，0次失败,华南理工大学,0.00,本科,9天18时16分,,58768168,,自考,男,0.00,0.00,,0,0,0,31%,2017/7/13,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",B,18
21,2750,身份证认证|手机认证,0,0,0,10,0次流标，0次撤标，0次失败,无,0.00,无,19天23时40分,,58835496,,无,女,0.00,0.00,,0,0,0,43%,2017/3/7,-1,0,0,,6 ,0.00,0.00,2017-07-14,,"/user/,",AA,11
32,40806,身份证认证|手机认证|人行征信认证,4375.5,250.0,0.23,83,1次流标，2次撤标，0次失败,无,26253.00,无,11天18时20分,2016/4/21,58171052,4713.51,无,男,6500.00,13059.38,0.0,35,0,0,26%,2015/10/25,-1,6,35,3282.06,24 ,0.00,4713.51,2017-07-14,,"/user/,",C,20
40,11200,学历认证|身份证认证|手机认证,0,0,0,21,0次流标，0次撤标，0次失败,江西农业大学,0.00,本科,9天17时00分,,58757785,,自考,男,0.00,0.00,,0,0,0,49%,2017/7/14,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",B,18
30,12500,身份证认证|手机认证,0,0,0,6,0次流标，0次撤标，0次失败,无,0.00,无,19天23时39分,,58835462,,无,女,0.00,0.00,,0,0,0,14%,2017/7/14,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",AA,12
41,42962,身份证认证|手机认证,4442.222222222223,200.0,0.19111111111111112,140,1次流标，0次撤标，0次失败,无,39980.00,无,3天22时53分,2015/11/26,56597113,7653.95,无,男,8460.00,15014.89,,50,0,0,40%,2015/11/15,-1,9,50,6330.039999999999,24 ,0.00,7653.95,2017-07-14,,"/user/,",C,20
30,9500,学历认证|身份证认证|手机认证,0,0,0,16,0次流标，0次撤标，0次失败,广西师范大学,0.00,本科,9天16时47分,,58756448,,成人,女,0.00,0.00,,0,0,0,68%,2017/7/14,-1,0,0,,6 ,0.00,0.00,2017-07-14,,"/user/,",B,18
40,46000,身份证认证|手机认证,3542.8,197.4,0.18495999999999999,209,1次流标，0次撤标，0次失败,无,42472.00,无,3天20时06分,2015/12/17,56549466,14824.79,无,男,9952.00,16889.13,0.0,69,0,0,67%,2015/12/17,-1,12,69,9388.3,24 ,0.00,14824.79,2017-07-14,,"/user/,",C,20
41,51402,身份证认证|手机认证,4527.5,360.0,0.255,149,1次流标，0次撤标，0次失败,无,18110.00,无,3天20时00分,2016/1/25,56546381,8017.44,无,男,6000.00,13979.12,-1.0,28,0,0,46%,2016/1/25,-1,4,28,6891.799999999999,24 ,0.00,8017.44,2017-07-14,,"/user/,",C,20
30,3500,身份证认证|手机认证,0,0,0,1,0次流标，1次撤标，0次失败,无,0.00,无,8天03时42分,,58494377,,无,女,0.00,0.00,,0,0,0,0%,2017/7/11,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",E,22
28,40546,学历认证|身份证认证|手机认证,7425.333333333333,223.33333333333334,0.21111111111111114,23,2次流标，10次撤标，0次失败,中南财经政法大学武汉学院,66828.00,本科,14天02时50分,2015/8/19,58676478,7767,普通,男,11000.00,11650.50,0.0,46,0,0,9%,2015/8/19,-1,9,46,7767.0,24 ,0.00,7767.00,2017-07-14,,"/user/,",C,20
42,7000,身份证认证|手机认证,0,0,0,123,0次流标，0次撤标，0次失败,无,0.00,无,2天06时35分,,57323303,,无,男,0.00,0.00,,0,0,0,86%,2017/7/6,-1,0,0,,6 ,0.00,0.00,2017-07-14,,"/user/,",E,22
54,8100,身份证认证|手机认证,0,0,0,31,1次流标，1次撤标，0次失败,无,0.00,无,3天01时10分,,57472415,,无,男,0.00,0.00,,0,0,0,21%,2017/6/26,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",E,22
45,5600,身份证认证|手机认证,0,0,0,12,0次流标，0次撤标，0次失败,无,0.00,无,5天20时39分,,57988574,,无,男,0.00,0.00,,0,0,0,8%,2017/5/31,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",E,22
44,6800,身份证认证|手机认证,0,0,0,40,0次流标，1次撤标，0次失败,无,0.00,无,6天17时02分,,58163064,,无,男,0.00,0.00,,0,0,0,23%,2016/8/28,-1,0,0,,6 ,0.00,0.00,2017-07-14,,"/user/,",E,22
25,7000,身份证认证|手机认证,0,0,0,24,0次流标，0次撤标，0次失败,无,0.00,无,3天20时39分,,57609776,,无,女,0.00,0.00,,0,0,0,23%,2017/7/8,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",E,22
33,5600,学历认证|身份证认证|手机认证,0,0,0,11,1次流标，0次撤标，0次失败,中央广播电视大学,0.00,专科,3天19时38分,,57598019,,成人,男,0.00,0.00,,0,0,0,15%,2017/5/30,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",F,22
30,8200,身份证认证|手机认证,0,0,0,14,0次流标，0次撤标，0次失败,无,0.00,无,5天04时59分,,57891925,,无,女,0.00,0.00,,0,0,0,9%,2017/3/15,-1,0,0,,12 ,0.00,0.00,2017-07-14,,"/user/,",E,22
