age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
24,3110,,0,0,0,20,,无,,无,2017/7/14,,58764699,,无,男,,,,,,,100%,2016/6/2,1,,,,6 ,,,2017-07-16,,pdu3220203576,D,22
34,4970,,0,0,0,74,,无,,无,2017/7/15,,59010908,,无,男,,,,,,,100%,2014/3/17,1,,,,6 ,,,2017-07-16,,jtkoo,B,18
34,2701,,0,0,0,15,,无,,无,2017/7/15,,59007947,,无,女,,,,,,,100%,2016/5/13,1,,,,12 ,,,2017-07-16,,pdu5262676438,C,20
39,900,,0,0,0,3,,无,,无,2017/7/15,,59002474,,无,女,,,,,,,100%,2016/12/3,1,,,,6 ,,,2017-07-16,,pdu3338231226,C,20
28,2327,,0,0,0,9,,无,,无,2017/7/15,,58956772,,无,男,,,,,,,100%,2017/5/3,1,,,,6 ,,,2017-07-16,,pdu3412801447,C,20
38,1864,,0,0,0,9,,无,,无,2017/7/14,,58757935,,无,男,,,,,,,100%,2016/8/14,1,,,,6 ,,,2017-07-16,,pdu4212364513,C,20
22,871,身份证认证|手机认证,1106.25,157.625,0.16930000000000003,1,0次流标，1次撤标，0次失败,无,8850.00,无,19天10时56分,2017/4/14,59088696,5407.37,无,男,2000.00,6313.86,0.0,12,0,0,2%,2017/4/10,0.5,8,12,4388.44,6 ,0.00,5407.37,2017-07-16,,pdu5474230244,C,20
34,3000,,0,0,0,7,,无,,无,2017/7/14,,58771250,,无,女,,,,,,,100%,2016/11/9,1,,,,12 ,,,2017-07-16,,pdu4872465585,C,20
21,1191,,0,0,0,11,,无,,无,2017/7/14,,58819929,,无,女,,,,,,,100%,2016/11/14,1,,,,6 ,,,2017-07-16,,pdu6108726346,B,18
41,3000,身份证认证|手机认证|视频认证,3900.0,270.0,0.27,1,3次流标，0次撤标，0次失败,无,7800.00,无,14天16时22分,2016/8/9,59123933,6390.84,无,男,6000.00,6390.84,,4,0,0,1%,2016/5/13,0.5,2,4,5325.700000000001,6 ,0.00,6390.84,2017-07-16,,pdu4713666176,C,20
28,8000,,0,0,0,14,,无,,无,2017/7/14,,58821837,,无,男,,,,,,,100%,2016/7/13,1,,,,12 ,,,2017-07-16,,pdu8584836457,B,18
24,14000,身份证认证|手机认证,0,0,0,4,0次流标，1次撤标，0次失败,无,0.00,无,19天05时59分,,59033016,,无,女,0.00,0.00,,0,0,0,1%,2017/7/13,0.5,0,0,,12 ,0.00,0.00,2017-07-16,,pdu2648205768,C,20
21,1150,,0,0,0,7,,无,,无,2017/7/14,,58824509,,无,男,,,,,,,100%,2017/4/18,1,,,,6 ,,,2017-07-16,,pdu6603776212,D,22
45,1000,,0,0,0,1,,无,,无,2017/7/14,,58833001,,无,男,,,,,,,100%,2017/3/9,1,,,,12 ,,,2017-07-16,,pdu1728704140,C,20
26,2134,身份证认证|手机认证,1075.0,270.0,0.195,11,0次流标，1次撤标，0次失败,无,2150.00,无,19天09时21分,2017/5/8,59072971,2138.93,无,男,1650.00,2298.16,0.0,3,0,0,40%,2017/5/8,0.5,2,3,1342.78,12 ,0.00,2138.93,2017-07-16,,pdu8856521075,C,20
22,5000,,0,0,0,15,,无,,无,2017/7/14,,58552265,,无,女,,,,,,,100%,2017/7/5,1,,,,12 ,,,2017-07-16,,pdu1714100513,C,20
29,2300,,0,0,0,13,,无,,无,2017/7/14,,58841228,,无,女,,,,,,,100%,2016/4/15,1,,,,12 ,,,2017-07-16,,pdu6132004353,C,20
30,821,,0,0,0,5,,无,,无,2017/7/14,,58830589,,无,女,,,,,,,100%,2016/11/24,1,,,,6 ,,,2017-07-16,,pdu1341782687,B,18
