age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
43,4000,,0,0,0,74,,无,,无,2017/7/21,,59805650,,无,男,,,,,,,100%,2017/7/3,1,,,,12 ,,,2017-07-22,,pdu7236123151,E,22
26,3500,身份证认证|手机认证,2233.3333333333335,360.0,0.17166666666666666,2,0次流标，0次撤标，0次失败,无,6700.00,无,14天11时43分,2016/7/20,60282806,3464.92,无,男,3000.00,4161.33,0.0,15,1,0,20%,2016/7/20,0.5,3,16,2164.44,12 ,0.00,3464.92,2017-07-22,,pdu7151787120,C,20
32,3000,身份证认证|手机认证,3571.8,134.4,0.16002,15,0次流标，0次撤标，1次失败,无,17859.00,无,19天07时56分,2015/12/4,60235277,6632.85,无,女,7300.00,10812.69,0.0,14,0,0,68%,2015/12/1,0.5,5,14,5475.04,6 ,0.00,6632.85,2017-07-22,,pdu3674816687,C,20
37,20395,学历认证|身份证认证|手机认证,10000.0,360.0,0.21000000000000002,31,0次流标，0次撤标，0次失败,河北经贸大学,20000.00,本科,14天04时59分,2016/3/6,60172845,10421.37,普通,男,12500.00,13895.16,0.0,15,0,0,33%,2016/3/6,0.5,2,15,6947.580000000001,12 ,0.00,10421.37,2017-07-22,,pdu4843220171,B,18
31,3000,身份证认证|手机认证,2708.0,225.0,0.200625,15,0次流标，1次撤标，0次失败,无,21664.00,无,14天11时49分,2016/7/17,60283932,11677.71,无,男,4700.00,11677.71,-1.0,25,0,0,49%,2016/7/17,0.5,8,25,10285.470000000001,12 ,0.00,11677.71,2017-07-22,,pdu7882537886,C,20
32,2500,,0,0,0,11,,无,,无,2017/7/22,,60280866,,无,女,,,,,,,100%,2016/1/28,1,,,,12 ,,,2017-07-22,,pdu8830260457,C,20
25,2490,身份证认证|手机认证,1500.0,180.0,0.11,2,0次流标，1次撤标，0次失败,无,1500.00,无,19天08时13分,2017/6/21,60238979,1162.32,无,男,1500.00,1743.48,,2,0,0,53%,2017/6/20,0.5,1,2,1162.32,6 ,0.00,1162.32,2017-07-22,,pdu1056551743,C,20
28,2617,身份证认证|手机认证,1559.0,150.0,0.18166666666666667,10,0次流标，0次撤标，0次失败,无,9354.00,无,19天11时33分,2017/3/14,60280905,5546.59,无,女,2532.00,7217.71,0.0,12,0,0,54%,2017/3/14,0.5,6,12,5546.589999999999,6 ,0.00,5546.59,2017-07-22,,pdu2734406650,C,20
29,18900,身份证认证|手机认证,12780.2,180.0,0.18199999999999997,65,0次流标，0次撤标，0次失败,无,156060.00,无,19天16时25分,2016/8/24,60318227,0,无,男,18900.00,19904.58,-16.0,96,0,0,57%,2016/8/23,0.5,15,96,,6 ,0.00,0.00,2017-07-22,,pdu7720865636,C,20
23,9459,身份证认证|手机认证,4509.0,270.0,0.16,12,1次流标，0次撤标，0次失败,无,9018.00,无,14天13时37分,2016/11/18,60300287,6944.62,无,女,6918.00,8375.48,0.0,9,0,0,14%,2016/11/4,0.5,2,9,6944.62,6 ,0.00,6944.62,2017-07-22,,pdu4657212447,C,20
31,4054,身份证认证|手机认证|人行征信认证,4485.0,270.0,0.16999999999999998,10,0次流标，0次撤标，0次失败,无,8970.00,无,14天13时39分,2017/1/15,60300544,6440.28,无,男,4900.00,7634.08,0.0,7,0,0,39%,2017/1/14,0.5,2,7,6440.28,6 ,0.00,6440.28,2017-07-22,,pdu2888672484,C,20
25,2800,身份证认证|手机认证,1103.0,146.57142857142858,0.1606285714285714,1,1次流标，0次撤标，0次失败,无,7721.00,无,19天19时26分,2017/3/18,60329055,5808.75,无,男,3000.00,6730.23,1.0,12,1,0,23%,2016/3/25,0.5,7,13,4297.15,12 ,0.00,5808.75,2017-07-22,,pdu1543051587,C,20
