age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
29,1596,,0,0,0,3,,无,,无,2017/7/14,,58787290,,无,男,,,,,,,100%,2015/12/3,1,,,,6 ,,,2017-07-20,,pdu5652827161,C,20
38,7000,,0,0,0,46,,无,,无,2017/7/18,,59474458,,无,男,,,,,,,100%,2016/4/15,1,,,,6 ,,,2017-07-20,,pdu6605587563,C,20
41,1800,,0,0,0,9,,无,,无,2017/7/15,,58982692,,无,男,,,,,,,100%,2017/4/19,1,,,,6 ,,,2017-07-20,,pdu4562248304,C,20
28,10000,,0,0,0,65,,无,,无,2017/7/16,,58919890,,无,女,,,,,,,100%,2017/7/14,1,,,,6 ,,,2017-07-20,,pdu7230116182,B,18
29,3000,,0,0,0,18,,无,,无,2017/7/14,,58620463,,无,男,,,,,,,100%,2016/1/30,1,,,,12 ,,,2017-07-20,,pdu4857187722,C,20
33,3251,,0,0,0,20,,无,,无,2017/7/19,,59672950,,无,女,,,,,,,100%,2016/11/13,1,,,,12 ,,,2017-07-20,,pdu4306682402,C,20
49,14115,,0,0,0,106,,无,,无,2017/7/16,,59048830,,无,男,,,,,,,100%,2015/1/7,1,,,,6 ,,,2017-07-20,,wwhhyy7277,B,18
25,800,,0,0,0,17,,无,,无,2017/7/19,,59715106,,无,男,,,,,,,100%,2016/6/10,1,,,,12 ,,,2017-07-20,,pdu7672136138,C,20
38,2200,,0,0,0,12,,无,,无,2017/7/15,,58957689,,无,女,,,,,,,100%,2016/9/14,1,,,,6 ,,,2017-07-20,,pdu7211120153,C,20
24,2486,,0,0,0,24,,无,,无,2017/7/19,,59640612,,无,男,,,,,,,100%,2017/3/3,1,,,,12 ,,,2017-07-20,,pdu2111448283,C,20
29,3753,,0,0,0,14,,无,,无,2017/7/14,,58617931,,无,女,,,,,,,100%,2016/1/19,1,,,,12 ,,,2017-07-20,,pdu6717138805,C,20
24,2600,身份证认证|手机认证,1581.0,270.0,0.15666666666666665,2,0次流标，0次撤标，0次失败,无,4743.00,无,19天16时16分,2017/3/17,59888913,3774.54,无,女,3000.00,4505.14,4.0,3,2,0,26%,2017/3/2,0.5,3,5,2058.8399999999997,12 ,0.00,3774.54,2017-07-20,,pdu6741464053,C,20
30,3717,,0,0,0,22,,无,,无,2017/7/16,,59110869,,无,男,,,,,,,100%,2017/5/14,1,,,,6 ,,,2017-07-20,,pdu2245212114,C,20
25,2290,,0,0,0,9,,无,,无,2017/7/14,,58847723,,无,女,,,,,,,100%,2015/8/25,1,,,,12 ,,,2017-07-20,,pdu64148213,D,22
35,1013,身份证认证|手机认证,1299.7,138.6,0.17792000000000002,2,3次流标，0次撤标，0次失败,无,19329.00,无,14天17时57分,2017/1/11,59899641,10741.42,无,男,3000.00,10941.42,1.0,40,1,0,6%,2016/7/14,0.5,14,41,8765.109999999999,6 ,0.00,10741.42,2017-07-20,,pdu3266527812,C,20
21,4820,,0,0,0,21,,无,,无,2017/7/18,,59502144,,无,女,,,,,,,100%,2017/6/3,1,,,,12 ,,,2017-07-20,,pdu0487473153,C,20
30,2000,,0,0,0,21,,无,,无,2017/7/17,,59271328,,无,男,,,,,,,100%,2016/10/5,1,,,,12 ,,,2017-07-20,,pdu8837087684,C,20
24,10000,学历认证|身份证认证|手机认证,7000.0,180.0,0.22,38,0次流标，0次撤标，0次失败,新疆机电职业技术学院,7000.00,专科,19天04时41分,2017/4/10,59751584,0,普通,女,7000.00,7968.09,4.0,1,1,0,54%,2017/4/10,0.5,1,2,,6 ,0.00,0.00,2017-07-20,,pdu4224682675,C,20
