age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
29,2393,身份证认证|手机认证,1500.0,150.0,0.22333333333333336,0,0次流标，0次撤标，0次失败,无,4500.00,无,19天22时29分,2017/3/26,62557099,2256.75,无,男,2500.00,2708.10,6.0,9,1,0,0%,2017/2/24,0.5,3,10,2256.75,6 ,0.00,2256.75,2017-08-02,,pdu7306663127,D,22
27,3000,学历认证|身份证认证|手机认证,2516.6666666666665,210.0,0.19166666666666668,6,2次流标，0次撤标，0次失败,中央广播电视大学,15100.00,专升本,14天18时17分,2015/10/16,62545161,3733.62,成人,男,3500.00,5251.13,7.0,28,7,0,25%,2014/11/18,0.5,6,36,3733.62,6 ,0.00,3733.62,2017-08-02,,rong3480630,AA,11
22,1778,,0,0,0,7,,无,,无,2017/8/1,,62254714,,无,女,,,,,,,100%,2017/3/29,1,,,,6 ,,,2017-08-02,,pdu4057564554,C,20
27,4808,身份证认证|手机认证,2472.9,279.0,0.192,6,0次流标，0次撤标，0次失败,无,33369.00,无,14天06时46分,2016/1/12,62424749,8008.6,无,女,5000.00,13549.20,0.0,85,0,0,65%,2015/11/11,0.5,12,85,6912.8,12 ,0.00,8008.60,2017-08-02,,pdu35380178,C,20
22,6418,学籍认证|身份证认证|手机认证,925.0,360.0,0.195,5,1次流标，0次撤标，0次失败,无,3700.00,无,18天23时59分,2017/4/25,62342982,3266.54,无,男,1200.00,3783.79,0.0,11,0,0,58%,2015/6/8,0.5,4,11,2104.68,12 ,0.00,3266.54,2017-08-02,,pdu38734210,C,20
23,1834,,0,0,0,15,,无,,无,2017/8/2,,62557741,,无,男,,,,,,,100%,2017/4/15,1,,,,6 ,,,2017-08-02,,pdu1032718823,AA,11
45,1322,身份证认证|手机认证,1510.0,22.3,0.12232000000000001,8,0次流标，0次撤标，0次失败,无,15100.00,无,19天14时06分,2017/4/7,62516486,4711.32,无,女,4000.00,6266.98,0.0,18,0,0,36%,2017/4/7,0.5,10,18,3111.32,6 ,0.00,4711.32,2017-08-02,,pdu5677311574,D,22
22,1314,,0,0,0,4,,无,,无,2017/8/1,,62248110,,无,男,,,,,,,100%,2015/10/5,1,,,,12 ,,,2017-08-02,,pdu77856143,C,20
32,3500,身份证认证|手机认证,2772.1666666666665,270.0,0.21,3,0次流标，0次撤标，0次失败,无,16633.00,无,14天06时52分,2016/7/14,62425930,7682.7,无,女,4500.00,9775.44,0.0,22,2,0,87%,2016/7/14,0.5,6,24,5618.959999999999,12 ,0.00,7682.70,2017-08-02,,pdu2502587382,C,20
23,2700,学历认证|身份证认证|手机认证,3660.0,216.0,0.186,3,0次流标，0次撤标，0次失败,三亚学院,18300.00,本科,19天10时21分,2016/11/24,62475930,10362.63,普通,男,5000.00,11439.25,4.0,11,3,0,77%,2016/11/24,0.5,5,15,7976.620000000001,6 ,0.00,10362.63,2017-08-02,,pdu6635030702,C,20
34,4990,,0,0,0,24,,无,,无,2017/8/1,,62285648,,无,女,,,,,,,100%,2016/8/15,1,,,,12 ,,,2017-08-02,,pdu2258464583,C,20
28,2646,身份证认证|手机认证,2028.1,234.0,0.195,2,1次流标，0次撤标，0次失败,无,20281.00,无,19天12时31分,2016/3/26,62501388,9183.33,无,男,4900.00,12020.06,,49,0,0,76%,2015/10/30,0.5,10,49,7245.040000000001,6 ,0.00,9183.33,2017-08-02,,pdu73533005,C,20
28,2500,身份证认证|手机认证,2065.4,208.5,0.15894000000000003,4,1次流标，0次撤标，0次失败,无,20654.00,无,14天16时55分,2016/7/27,62537638,7193.32,无,男,3936.00,10184.18,-1.0,49,0,0,13%,2016/6/11,0.5,10,49,5567.89,6 ,0.00,7193.32,2017-08-02,,pdu4870678451,AA,11
27,3291,,0,0,0,5,,无,,无,2017/8/1,,62297648,,无,女,,,,,,,100%,2016/1/17,1,,,,12 ,,,2017-08-02,,pdu2856320260,C,20
38,4332,身份证认证|手机认证,2306.4,324.0,0.186,5,0次流标，0次撤标，0次失败,无,11532.00,无,19天03时17分,2016/12/21,62374930,6893.92,无,男,3804.00,8504.42,-2.0,20,0,0,79%,2016/12/20,0.5,5,20,4831.5,12 ,0.00,6893.92,2017-08-02,,pdu6322741543,C,20
32,9420,身份证认证|手机认证,4070.6666666666665,270.0,0.26666666666666666,0,0次流标，2次撤标，0次失败,无,12212.00,无,2017/7/25,2016/1/14,60903981,0,无,男,6000.00,6809.59,-1.0,23,0,0,58%,2016/1/14,0,3,23,,6 ,0.00,0.00,2017-08-02,,pdu5065265556,C,20
19,1000,身份证认证|手机认证,0,0,0,1,0次流标，0次撤标，0次失败,无,0.00,无,19天17时19分,,62540049,,无,男,0.00,0.00,,0,0,0,2%,2017/8/2,0.5,0,0,,6 ,0.00,0.00,2017-08-02,,pdu0463334371,AA,11
23,2214,,0,0,0,7,,无,,无,2017/8/2,,62448151,,无,男,,,,,,,100%,2015/12/4,1,,,,12 ,,,2017-08-02,,pdu5400217852,C,20
46,6500,身份证认证|手机认证,0,0,0,1,1次流标，1次撤标，0次失败,无,0.00,无,19天12时51分,,62504747,,无,男,0.00,0.00,,0,0,0,30%,2017/7/14,0.5,0,0,,6 ,0.00,0.00,2017-08-02,,pdu0607856447,C,20
33,3538,,0,0,0,61,,无,,无,2017/8/2,,62543417,,无,女,,,,,,,100%,2016/10/27,1,,,,6 ,,,2017-08-02,,pdu1171377137,D,22
28,3000,,0,0,0,46,,无,,无,2017/8/1,,62296635,,无,男,,,,,,,100%,2015/9/21,1,,,,12 ,,,2017-08-02,,pdu88285068,C,20
30,3314,,0,0,0,13,,无,,无,2017/7/31,,62039263,,无,女,,,,,,,100%,2015/9/27,1,,,,6 ,,,2017-08-02,,pdu56651506,C,20
28,5100,,0,0,0,22,,无,,无,2017/8/1,,62280630,,无,女,,,,,,,100%,2015/6/25,1,,,,12 ,,,2017-08-02,,pdu72748620,C,20
