age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
45,2999,身份证认证|手机认证,0,0,0,4,0次流标，0次撤标，0次失败,无,0.00,无,14天09时16分,,1000199839,,无,男,0.00,0.00,,0,0,0,9%,2017/8/3,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu4625424615,AA,12
27,7400,身份证认证|手机认证,0,0,0,8,3次流标，0次撤标，0次失败,无,0.00,无,9天07时06分,,62853338,,无,男,0.00,0.00,,0,0,0,88%,2015/12/10,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu3741735360,A,16
34,2500,,0,0,0,28,,无,,无,2017/8/3,,62704335,,无,女,,,,,,,100%,2017/7/12,1,,,,3 ,,,2017-08-04,,pdu5464002781,AA,10
31,5742,,0,0,0,21,,无,,无,2017/8/3,,62712180,,无,男,,,,,,,100%,2016/9/18,1,,,,6 ,,,2017-08-04,,pdu8560352865,C,20
30,10000,身份证认证|手机认证,2399.6,288.0,0.192,1,2次流标，0次撤标，0次失败,无,11998.00,无,14天16时35分,2016/9/12,62961268,2146.52,无,男,4000.00,8151.53,1.0,29,5,0,20%,2015/4/3,0.5,5,34,1736.24,12 ,0.00,2146.52,2017-08-04,,pdu38458134,C,20
31,9000,身份证认证|手机认证,0,0,0,33,1次流标，1次撤标，0次失败,无,0.00,无,19天03时26分,,62803300,,无,女,0.00,0.00,,0,0,0,44%,2017/8/2,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu4817570388,AA,12
26,10000,学历认证|身份证认证|手机认证,0,0,0,10,0次流标，0次撤标，0次失败,徐州工业职业技术学院,0.00,专科,19天12时04分,,62920819,,普通,男,0.00,0.00,,0,0,0,84%,2016/8/8,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu1186056844,B,18
20,3000,身份证认证|手机认证,0,0,0,3,0次流标，0次撤标，0次失败,无,0.00,无,19天07时37分,,62860432,,无,男,0.00,0.00,,0,0,0,5%,2017/8/3,0.5,0,0,,3 ,0.00,0.00,2017-08-04,,pdu5534336226,AA,10
45,3122,身份证认证|手机认证,2119.0,270.0,0.16999999999999998,3,0次流标，0次撤标，0次失败,无,4238.00,无,19天14时57分,2017/4/29,62948902,3163.24,无,男,3238.00,3163.24,0.0,6,0,0,68%,2017/3/4,0.5,2,6,2947.24,12 ,0.00,3163.24,2017-08-04,,pdu4714601686,C,20
46,5927,身份证认证|手机认证,5750.0,180.0,0.165,6,0次流标，0次撤标，0次失败,无,11500.00,无,14天11时10分,2016/11/11,62910127,4260.52,无,男,6000.00,6390.78,-1.0,8,0,0,37%,2016/10/12,0.5,2,8,3195.3900000000003,6 ,0.00,4260.52,2017-08-04,,pdu2838365031,C,20
39,1000,,0,0,0,7,,无,,无,2017/8/3,,62720176,,无,女,,,,,,,100%,2017/8/2,1,,,,3 ,,,2017-08-04,,pdu0040555481,AA,10
27,2000,,0,0,0,17,,无,,无,2017/8/3,,62706849,,无,男,,,,,,,100%,2017/5/20,1,,,,3 ,,,2017-08-04,,pdu4056466448,AA,10
35,10000,身份证认证|手机认证,0,0,0,10,1次流标，1次撤标，0次失败,无,0.00,无,19天00时42分,,62777758,,无,女,0.00,0.00,,0,0,0,13%,2017/7/10,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu4615316343,AA,12
24,4500,,0,0,0,62,,无,,无,2017/8/3,,62642931,,无,男,,,,,,,100%,2017/7/2,1,,,,3 ,,,2017-08-04,,pdu2103334543,AA,10
28,2500,身份证认证|手机认证,0,0,0,0,1次流标，0次撤标，0次失败,无,0.00,无,19天11时16分,,62911252,,无,女,0.00,0.00,,0,0,0,0%,2016/8/16,0.5,0,0,,3 ,0.00,0.00,2017-08-04,,pdu1250343171,AA,10
26,2998,身份证认证|手机认证,0,0,0,0,0次流标，0次撤标，0次失败,无,0.00,无,14天12时33分,,1000200321,,无,男,0.00,0.00,,0,0,0,0%,2017/8/3,0.5,0,0,,9 ,0.00,0.00,2017-08-04,,pdu4570340463,AA,11
36,35371,,0,0,0,181,,无,,无,2017/8/3,,62534535,,无,女,,,,,,,100%,2016/2/15,1,,,,12 ,,,2017-08-04,,pdu7083658744,B,18
29,6339,身份证认证|手机认证,4642.0,270.0,0.22,2,0次流标，1次撤标，0次失败,无,18568.00,无,14天11时04分,2016/5/16,62909041,7000.4,无,男,7316.00,10672.49,1.0,22,4,0,33%,2016/4/14,0.5,4,26,6699.5,6 ,0.00,7000.40,2017-08-04,,pdu0367326148,C,20
31,10000,,0,0,0,40,,无,,无,2017/8/4,,62958022,,无,女,,,,,,,100%,2017/8/2,1,,,,12 ,,,2017-08-04,,pdu4815803124,D,22
29,7000,身份证认证|手机认证,1700.0,225.0,0.19,7,6次流标，0次撤标，0次失败,无,6800.00,无,14天09时12分,2015/11/5,62882764,5769.23,无,女,3700.00,5769.23,0.0,11,2,0,12%,2015/11/5,0.5,4,13,3676.9700000000003,6 ,0.00,5769.23,2017-08-04,,rong4580561,AA,11
30,5092,学历认证|身份证认证|手机认证,3190.0,180.0,0.165,10,0次流标，0次撤标，0次失败,中央广播电视大学,6380.00,专科,14天11时54分,2017/2/12,62918740,3055.6,成人,女,3580.00,4840.14,2.0,5,2,0,48%,2017/2/12,0.5,2,7,1906.59,6 ,0.00,3055.60,2017-08-04,,pdu7227821604,C,20
23,9300,身份证认证|手机认证,6500.0,135.0,0.145,0,0次流标，1次撤标，0次失败,无,13000.00,无,2017/7/19,2017/3/4,59695042,6318.9,无,女,7000.00,7632.72,0.0,3,0,0,25%,2016/12/18,0,2,3,5265.75,6 ,0.00,6318.90,2017-08-04,,pdu5804574717,B,18
38,12000,学历认证|身份证认证|手机认证,1450.0,28.0,0.12480000000000001,21,0次流标，0次撤标，0次失败,南京陆军指挥学院,2900.00,本科,18天08时24分,2017/6/3,62658165,1550.0,自考,男,1550.00,1550.00,0.0,3,0,0,20%,2017/6/3,0.5,2,3,,6 ,0.00,1550.00,2017-08-04,,pdu7636471410,AA,11
22,2000,,0,0,0,24,,无,,无,2017/8/3,,62755712,,无,男,,,,,,,100%,2016/10/8,1,,,,12 ,,,2017-08-04,,pdu7685756755,AA,12
32,5100,,0,0,0,47,,无,,无,2017/8/3,,62736446,,无,男,,,,,,,100%,2017/1/2,1,,,,12 ,,,2017-08-04,,pdu5757411651,AA,12
27,1500,,0,0,0,9,,无,,无,2017/8/3,,62702627,,无,男,,,,,,,100%,2017/8/1,1,,,,3 ,,,2017-08-04,,pdu2820843373,AA,10
42,6000,,0,0,0,34,,无,,无,2017/8/3,,62734319,,无,女,,,,,,,100%,2017/8/2,1,,,,12 ,,,2017-08-04,,pdu3737430075,AA,12
33,2500,身份证认证|手机认证,0,0,0,2,2次流标，1次撤标，0次失败,无,0.00,无,19天07时41分,,62861875,,无,女,0.00,0.00,,0,0,0,4%,2016/7/15,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu7045707770,AA,12
25,4500,身份证认证|手机认证,0,0,0,1,0次流标，0次撤标，0次失败,无,0.00,无,19天12时07分,,62921562,,无,男,0.00,0.00,,0,0,0,1%,2017/8/3,0.5,0,0,,12 ,0.00,0.00,2017-08-04,,pdu4240508023,AA,12
43,3988,,0,0,0,17,,无,,无,2017/8/3,,62755335,,无,男,,,,,,,100%,2017/4/27,1,,,,6 ,,,2017-08-04,,pdu4052247633,C,20
